img_name,mean_intensity,std_intensity
hard1.bmp,0.2565,0.1970
medium1.bmp,0.2754,0.2066
soft10.bmp,0.2288,0.1968
soft5.bmp,0.2183,0.1876
soft7.bmp,0.2255,0.2053
medium6.bmp,0.2154,0.1812
hard7.bmp,0.2308,0.2056
medium7.bmp,0.2020,0.1810
hard9.bmp,0.2423,0.1994
medium10.bmp,0.2370,0.2040
medium8.bmp,0.2102,0.1864
hard3.bmp,0.2645,0.2055
hard6.bmp,0.2241,0.1953
soft3.bmp,0.2546,0.1929
medium4.bmp,0.2113,0.1758
soft9.bmp,0.2262,0.2113
medium9.bmp,0.2251,0.2012
medium2.bmp,0.2787,0.2104
soft1.bmp,0.2579,0.1845
hard2.bmp,0.2635,0.2021
soft8.bmp,0.2254,0.2039
hard8.bmp,0.2235,0.2042
soft4.bmp,0.2767,0.2087
soft6.bmp,0.2285,0.1990
hard5.bmp,0.2317,0.1975
medium3.bmp,0.2707,0.2053
hard4.bmp,0.2015,0.1767
hard10.bmp,0.2323,0.2146
medium5.bmp,0.2077,0.1788
soft2.bmp,0.2439,0.1866
